Part_Desc_;Rework;Work_Order_Qty;Case ID;label;Activity;Resource;Report_Type;Resource.1;Qty_Completed;Qty_for_MRB;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4529;D;Machine 4 - Turning & Milling;10;0;120.0;2012-01-02 16:00:00;960;1;0;16;120.0;540.0;3;8
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;10;0;420.0;2012-01-02 16:00:00;960;1;0;16;0.0;0.0;1;8
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;100;0;120.0;2012-01-02 16:00:00;960;1;0;16;225.0;225.0;2;8
Cable Head;missing;3;Case277;deviant;Milling - Machine 16;ID4326;D;Machine 16 - Milling;3;0;510.0;2012-01-02 16:00:00;960;1;0;16;0.0;0.0;1;8
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;1;0;342.0;2012-01-02 16:43:00;1003;1;0;16;0.0;0.0;1;9
Punch Holder;missing;350;Case188;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;144;0;60.0;2012-01-02 17:00:00;1020;1;0;17;60.0;250.0;4;9
other;missing;40;Case255;regular;Turning - Machine 8;ID0997;D;Machine 15 - Turning;40;0;660.0;2012-01-02 18:00:00;1080;1;0;18;0.0;0.0;1;10
Housing;missing;46;Case153;regular;Round Grinding - Manual;ID4528;S;Machine 27 - Grinding;0;0;50.0;2012-01-02 19:50:00;1190;1;0;19;0.0;0.0;1;11
Housing;missing;46;Case153;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;4;0;55.0;2012-01-02 20:45:00;1245;1;0;20;55.0;55.0;2;11
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;53.0;2012-01-02 20:53:00;1253;1;0;20;0.0;0.0;1;12
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;S;Machine 27 - Grinding;0;0;45.0;2012-01-02 21:30:00;1290;1;0;21;0.0;0.0;1;13
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;161.0;2012-01-02 23:00:00;1380;1;0;23;127.0;127.0;2;13
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;7;0;460.0;2012-01-02 23:40:00;1420;1;0;23;460.0;460.0;2;13
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;0;0;105.0;2012-01-02 23:45:00;1425;1;0;23;135.0;135.0;2;13
Cable Head;missing;17;Case185;regular;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;2;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16
Fastener;missing;313;Case237;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;179;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16
Cable Head;missing;3;Case277;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;3;0;75.0;2012-01-03 01:15:00;75;1;1;1;555.0;555.0;2;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;52;0;660.0;2012-01-03 07:00:00;420;1;1;7;900.0;1440.0;4;16
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;28;0;480.0;2012-01-03 07:00:00;420;1;1;7;480.0;607.0;3;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;0;0;9.0;2012-01-03 07:43:00;463;1;1;7;43.0;1483.0;5;16
Spur Gear;missing;20;Case236;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;54.0;2012-01-03 07:44:00;464;1;1;7;479.0;614.0;3;16
Spur Gear;missing;3;Case274;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;0;0;95.0;2012-01-03 08:40:00;520;1;1;8;957.0;957.0;2;16
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4429;B;Machine 5 - Turning & Milling;0;0;98.0;2012-01-03 08:43:00;523;1;1;8;103.0;710.0;4;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;S;Machine 4 - Turning & Milling;1;0;74.0;2012-01-03 08:49:00;529;1;1;8;66.0;1549.0;6;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;94;0;87.0;2012-01-03 09:11:00;551;1;1;9;22.0;1571.0;7;16
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;B;Machine 8 - Turning & Milling;0;0;193.0;2012-01-03 10:12:00;612;1;1;10;92.0;1049.0;3;16
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;0;0;290.0;2012-01-03 11:50:00;710;1;1;11;246.0;860.0;4;16
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;2;0;98.0;2012-01-03 11:51:00;711;1;1;11;99.0;1148.0;4;16
Spur Gear;missing;3;Case274;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;3;0;44.0;2012-01-03 12:14:00;734;1;1;12;23.0;1171.0;5;16
Spur Gear;missing;3;Case274;regular;Flat Grinding - Machine 11;ID4872;D;Machine 11 - Grinding;3;0;40.0;2012-01-03 12:30:00;750;1;1;12;16.0;1187.0;6;16
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;266.0;2012-01-03 12:50:00;770;1;1;12;695.0;695.0;2;16
Fastener;missing;313;Case237;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;31;0;360.0;2012-01-03 13:00:00;780;1;1;13;705.0;705.0;2;16
Spur Gear;missing;3;Case274;regular;Lapping - Machine 1;ID4872;D;Machine 1 - Lapping;3;0;60.0;2012-01-03 13:30:00;810;1;1;13;60.0;1247.0;7;16
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;14;0;75.0;2012-01-03 15:29:00;929;1;1;15;949.0;1409.0;3;15
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;36;0;190.0;2012-01-03 15:35:00;935;1;1;15;165.0;860.0;3;15
Cable Head;missing;150;Case271;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;0;0;492.0;2012-01-03 15:36:00;936;1;1;15;413.0;1123.0;5;14
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;0;0;156.0;2012-01-03 15:56:00;956;1;1;15;21.0;881.0;4;14
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;25.0;2012-01-03 16:00:00;960;1;1;16;4.0;885.0;5;17
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;1;0;360.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17
Ballnut;missing;24;Case233;deviant;other;ID4641;D;Machine 9 - Turning & Milling;0;0;300.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17
Barrel;missing;32;Case250;regular;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;510.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17
Spur Gear;missing;3;Case274;regular;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;3;0;150.0;2012-01-03 16:00:00;960;1;1;16;150.0;1397.0;8;17
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;8.0;2012-01-03 16:05:00;965;1;1;16;5.0;890.0;6;17
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;31;0;350.0;2012-01-03 16:07:00;967;1;1;16;416.0;1987.0;8;17
Cable Head;missing;30;Case219;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;15;0;69.0;2012-01-03 17:04:00;1024;1;1;17;0.0;0.0;1;18
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;0;0;366.0;2012-01-03 17:58:00;1078;1;1;17;1858.0;1858.0;2;18
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;50;0;79.0;2012-01-03 18:23:00;1103;1;1;18;1583.0;1808.0;3;18
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;171.0;2012-01-03 18:58:00;1138;1;1;18;173.0;1063.0;7;18
Ballnut;missing;24;Case233;deviant;other;ID3846;S;Machine 9 - Turning & Milling;2;0;269.0;2012-01-03 20:24:00;1224;1;1;20;264.0;264.0;2;18
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;S;Machine 6 - Turning & Milling;1;0;50.0;2012-01-03 21:05:00;1265;1;1;21;305.0;305.0;2;18
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;D;Machine 2 - Round Grinding;9;0;198.0;2012-01-03 22:17:00;1337;1;1;22;199.0;1262.0;8;18
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;16;0;460.0;2012-01-03 23:40:00;1420;1;1;23;710.0;1570.0;5;18
Ballnut;missing;24;Case233;deviant;other;ID3846;D;Machine 9 - Turning & Milling;7;0;196.0;2012-01-03 23:41:00;1421;1;1;23;197.0;461.0;3;18
other;missing;100;Case222;regular;Packing;ID4820;D;Packing;0;0;60.0;2012-01-04 01:00:00;60;1;2;1;0.0;0.0;1;18
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-04 01:15:00;75;1;2;1;178.0;1440.0;9;17
Wheel Shaft;missing;20;Case201;deviant;Round Grinding - Q.C.;ID4493;D;Quality Check 1;13;0;75.0;2012-01-04 01:15:00;75;1;2;1;0.0;0.0;1;17
Wheel Shaft;missing;20;Case201;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;13;0;75.0;2012-01-04 01:15:00;75;1;2;1;0.0;0.0;2;17
Fastener;missing;313;Case237;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;131;0;75.0;2012-01-04 01:15:00;75;1;2;1;735.0;1440.0;3;17
Ballnut;missing;24;Case233;deviant;other;ID4932;D;Machine 9 - Turning & Milling;9;0;270.0;2012-01-04 04:34:00;274;1;2;4;293.0;754.0;4;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;65;0;618.0;2012-01-04 06:32:00;392;1;2;6;865.0;2852.0;9;16
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;20;0;567.0;2012-01-04 06:33:00;393;1;2;6;568.0;873.0;3;16
Electrical Contact;missing;320;Case238;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;39.0;2012-01-04 07:29:00;449;1;2;7;57.0;2909.0;10;16
Cable Head;missing;153;Case266;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;0;0;100.0;2012-01-04 08:40:00;520;1;2;8;0.0;0.0;1;17
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;1;0;139.0;2012-01-04 09:18:00;558;1;2;9;920.0;2778.0;3;17
Compound Dies;missing;18;Case263;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;0;0;60.0;2012-01-04 10:00:00;600;1;2;10;42.0;2820.0;4;17
Cable Head;missing;151;Case177;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;7;0;125.0;2012-01-04 10:25:00;625;1;2;10;0.0;0.0;1;18
Ballnut;missing;10;Case228;deviant;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;10;0;76.0;2012-01-04 10:51:00;651;1;2;10;0.0;0.0;1;19
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;B;Machine 8 - Turning & Milling;0;0;99.0;2012-01-04 11:00:00;660;1;2;11;60.0;2880.0;5;19
Spur Gear;missing;3;Case274;regular;Round Grinding - Q.C.;ID4287;D;Quality Check 1;3;0;62.0;2012-01-04 11:02:00;662;1;2;11;1142.0;2539.0;9;19
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID4882;D;Machine 11 - Grinding;75;0;86.0;2012-01-04 11:54:00;714;1;2;11;1051.0;2859.0;4;19
Spur Gear;missing;3;Case274;regular;Laser Marking - Machine 7;ID0998;D;Machine 7- Laser Marking;3;0;75.0;2012-01-04 12:20:00;740;1;2;12;78.0;2617.0;10;19
Spur Gear;missing;3;Case274;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;97.0;2012-01-04 12:49:00;769;1;2;12;29.0;2646.0;11;19
Spur Gear;missing;3;Case274;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;3;0;10.0;2012-01-04 13:30:00;810;1;2;13;41.0;2687.0;12;19
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;15;0;450.0;2012-01-04 15:30:00;930;1;2;15;537.0;1410.0;4;19
Cable Head;missing;13;Case208;deviant;Turning & Milling - Machine 10;ID4641;S;Machine 10 - Grinding;0;0;442.0;2012-01-04 15:57:00;957;1;2;15;0.0;0.0;1;20
Spur Gear;missing;225;Case254;regular;Final Inspection Q.C.;ID4618;D;Quality Check 1;0;0;31.0;2012-01-04 15:57:00;957;1;2;15;243.0;3102.0;5;20
O-Ring;missing;9;Case265;regular;Turning - Machine 8;ID0997;S;Machine 15 - Turning;0;0;307.0;2012-01-04 15:59:00;959;1;2;15;0.0;0.0;1;21
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4429;S;Machine 5 - Turning & Milling;0;0;114.0;2012-01-04 16:09:00;969;1;2;16;449.0;449.0;2;21
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;11;0;321.0;2012-01-04 16:21:00;981;1;2;16;321.0;3201.0;6;21
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;4;0;44.0;2012-01-04 16:58:00;1018;1;2;16;1038.0;2608.0;6;21
Housing;missing;46;Case153;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;37.0;2012-01-04 17:47:00;1067;1;2;17;2702.0;2757.0;3;21
Barrel;missing;32;Case250;regular;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;240.0;2012-01-04 18:00:00;1080;1;2;18;1560.0;1560.0;2;21
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;40;0;650.0;2012-01-04 18:03:00;1083;1;2;18;634.0;3543.0;11;21
Cable Head;missing;17;Case185;regular;Grinding Rework - Machine 27;ID4528;D;Machine 27 - Grinding;0;0;92.0;2012-01-04 18:31:00;1111;1;2;18;2476.0;2476.0;2;21
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;0;0;11.0;2012-01-04 20:18:00;1218;1;2;20;135.0;3678.0;12;21
Cable Head;missing;13;Case208;deviant;Turning & Milling - Machine 10;ID3846;S;Machine 10 - Grinding;0;0;396.0;2012-01-04 22:34:00;1354;1;2;22;397.0;397.0;2;21
Cable Head;missing;17;Case185;regular;Packing;ID4820;D;Packing;5;0;60.0;2012-01-05 01:00:00;60;1;3;1;0.0;2865.0;3;21
Cable Head;missing;17;Case185;regular;Packing;ID4820;D;Packing;0;0;60.0;2012-01-05 01:00:00;60;1;3;1;389.0;2865.0;4;21
Gauge;missing;10;Case227;regular;Packing;ID4820;D;Packing;10;0;60.0;2012-01-05 01:00:00;60;1;3;1;0.0;0.0;1;21
Spur Gear;missing;3;Case274;regular;Packing;ID4820;D;Packing;3;0;60.0;2012-01-05 01:00:00;60;1;3;1;690.0;3377.0;13;21
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;18;0;619.0;2012-01-05 06:27:00;387;1;3;6;897.0;2307.0;5;21
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;117;0;651.0;2012-01-05 06:45:00;405;1;3;6;876.0;1325.0;3;21
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;67;0;627.0;2012-01-05 06:46:00;406;1;3;6;628.0;4306.0;13;21
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;1;0;18.0;2012-01-05 07:06:00;426;1;3;7;885.0;4086.0;7;21
Spur Gear;missing;85;Case210;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;41.0;2012-01-05 07:35:00;455;1;3;7;68.0;2375.0;6;21
Gauge;missing;10;Case227;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;10;0;56.0;2012-01-05 07:56:00;476;1;3;7;416.0;416.0;2;20
O-Ring;missing;9;Case265;regular;Turning - Machine 8;ID0997;D;Machine 15 - Turning;9;0;52.0;2012-01-05 08:26:00;506;1;3;8;987.0;987.0;2;20
Housing;missing;46;Case153;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;4;0;35.0;2012-01-05 08:40:00;520;1;3;8;893.0;3650.0;4;20
Electrical Contact;missing;320;Case238;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;83.0;2012-01-05 09:23:00;563;1;3;9;157.0;4463.0;14;20
Wheel Shaft;missing;20;Case201;deviant;Turning - Machine 8;ID4219;D;Machine 15 - Turning;0;0;1.0;2012-01-05 10:11:00;611;1;3;10;1976.0;1976.0;3;20
Cable Head;missing;17;Case185;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;5;0;43.0;2012-01-05 10:13:00;613;1;3;10;553.0;3418.0;5;20
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;5;0;135.0;2012-01-05 10:45:00;645;1;3;10;219.0;4305.0;8;20
Compound Dies;missing;18;Case263;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;18;0;60.0;2012-01-05 11:30:00;690;1;3;11;45.0;4350.0;9;20
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;54;0;643.0;2012-01-05 11:32:00;692;1;3;11;129.0;4592.0;15;19
Compound Dies;missing;18;Case263;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;18;0;41.0;2012-01-05 12:27:00;747;1;3;12;57.0;4407.0;10;19
Barrel;missing;32;Case250;regular;Final Inspection Q.C.;ID4163;D;Quality Check 1;0;0;350.0;2012-01-05 12:50:00;770;1;3;12;1130.0;2690.0;3;19
Wheel Shaft;missing;20;Case201;deviant;Turning - Machine 8;ID4219;S;Machine 15 - Turning;1;0;220.0;2012-01-05 13:52:00;832;1;3;13;221.0;2197.0;4;19
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;36;0;431.0;2012-01-05 14:17:00;857;1;3;14;452.0;1777.0;4;19
Cable Head;missing;17;Case185;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;0;0;190.0;2012-01-05 14:40:00;880;1;3;14;267.0;3685.0;6;19
other;missing;40;Case255;regular;Turning Q.C.;ID4618;D;Quality Check 1;40;0;75.0;2012-01-05 15:13:00;913;1;3;15;4153.0;4153.0;2;19
Ballnut;missing;108;Case215;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;241.0;2012-01-05 15:21:00;921;1;3;15;0.0;0.0;1;20
Spur Gear;missing;20;Case236;regular;Final Inspection Q.C.;ID4618;D;Quality Check 1;20;0;336.0;2012-01-05 15:29:00;929;1;3;15;1351.0;3959.0;7;20
Cable Head;missing;185;Case225;deviant;Grinding Rework - Machine 27;ID4872;D;Machine 27 - Grinding;0;0;535.0;2012-01-05 15:52:00;952;1;3;15;0.0;0.0;1;21
Barrel;missing;32;Case250;regular;Milling - Machine 16;ID4326;D;Machine 16 - Milling;8;0;540.0;2012-01-05 16:00:00;960;1;3;16;190.0;2880.0;4;21
Cable Head;missing;153;Case266;deviant;Turning & Milling Q.C.;ID4163;S;Quality Check 1;0;0;130.0;2012-01-05 16:10:00;970;1;3;16;113.0;1890.0;5;21
Cable Head;missing;3;Case277;deviant;Lapping - Machine 1;ID4528;D;Machine 1 - Lapping;3;0;54.0;2012-01-05 16:54:00;1014;1;3;16;3819.0;4374.0;3;21
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;22;0;540.0;2012-01-05 17:00:00;1020;1;3;17;565.0;2940.0;7;21
Cable Head;missing;30;Case219;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;15;0;28.0;2012-01-05 17:35:00;1055;1;3;17;2911.0;2911.0;2;21
Cable Head;missing;153;Case266;deviant;Turning & Milling Q.C.;ID4287;D;Quality Check 1;153;0;35.0;2012-01-05 17:35:00;1055;1;3;17;85.0;1975.0;6;21
Wheel Shaft;missing;20;Case201;deviant;Turning - Machine 8;ID4219;D;Machine 15 - Turning;2;0;224.0;2012-01-05 17:37:00;1057;1;3;17;225.0;2422.0;5;21
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4429;S;Machine 5 - Turning & Milling;1;0;195.0;2012-01-05 17:37:00;1057;1;3;17;2.0;1977.0;7;21
Wheel Shaft;missing;20;Case201;deviant;Turning - Machine 8;ID4219;S;Machine 15 - Turning;0;0;3.0;2012-01-05 17:42:00;1062;1;3;17;5.0;2427.0;6;21
Ballnut;missing;108;Case215;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;78;0;145.0;2012-01-05 17:47:00;1067;1;3;17;146.0;146.0;2;21
Punch Holder;missing;350;Case267;deviant;Turning & Milling - Machine 4;ID4167;S;Machine 4 - Turning & Milling;0;0;344.0;2012-01-05 17:58:00;1078;1;3;17;0.0;0.0;1;22
Cable Head;missing;3;Case277;deviant;Round Grinding - Manual;ID4528;S;Machine 27 - Grinding;0;0;90.0;2012-01-05 18:30:00;1110;1;3;18;96.0;4470.0;4;22
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;59.0;2012-01-05 20:50:00;1250;1;3;20;193.0;2170.0;8;22
Ballnut;missing;108;Case215;regular;Turning & Milling - Machine 8;ID4445;D;Machine 8 - Turning & Milling;30;0;70.0;2012-01-05 22:03:00;1323;1;3;22;256.0;402.0;3;22
Cable Head;missing;3;Case277;deviant;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;0;0;315.0;2012-01-05 23:45:00;1425;1;3;23;315.0;4785.0;5;22
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;8;0;218.0;2012-01-06 00:00:00;0;1;4;0;420.0;3360.0;8;22
Housing;missing;46;Case153;regular;Packing;ID4820;D;Packing;4;0;60.0;2012-01-06 01:00:00;60;1;4;1;980.0;4630.0;5;20
Spur Gear;missing;20;Case236;regular;Packing;ID4491;D;Packing;20;0;60.0;2012-01-06 01:00:00;60;1;4;1;571.0;4530.0;8;20
Spur Gear;missing;225;Case254;regular;Packing;ID4820;D;Packing;225;0;60.0;2012-01-06 01:00:00;60;1;4;1;1983.0;5085.0;6;20
Spur Gear;missing;105;Case230;deviant;Turning & Milling - Machine 6;ID4794;B;Machine 6 - Turning & Milling;0;0;71.0;2012-01-06 01:14:00;74;1;4;1;0.0;0.0;1;21
Punch Holder;missing;350;Case267;deviant;Turning & Milling - Machine 4;ID4794;S;Machine 4 - Turning & Milling;2;0;293.0;2012-01-06 01:14:00;74;1;4;1;436.0;436.0;2;21
Spur Gear;missing;105;Case230;deviant;Turning & Milling - Machine 6;ID4794;S;Machine 6 - Turning & Milling;0;0;326.0;2012-01-06 06:39:00;399;1;4;6;325.0;325.0;2;21
Punch Holder;missing;350;Case267;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;15;0;324.0;2012-01-06 06:39:00;399;1;4;6;325.0;761.0;3;21
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;33;0;590.0;2012-01-06 06:41:00;401;1;4;6;591.0;2761.0;9;21
Wheel Shaft;missing;20;Case201;deviant;Turning - Machine 8;ID4219;D;Machine 15 - Turning;1;0;69.0;2012-01-06 08:00:00;480;1;4;8;858.0;3285.0;7;21
